6;177;17
4;177;15
4;176;20
4;154;18
4;150;17
4;150;16
2;155;17
3;162;20
4;174;19
5;159;17
3;168;15
2;156;19
4;165;18
4;157;16
5;155;16
4;173;17
5;176;18
5;174;18
1;172;15
3;165;18
5;172;18
5;174;20
2;156;17
1;155;17
3;160;20
1;154;18
6;177;19
2;157;17
6;165;19
4;172;15
6;178;20
1;163;20
4;177;16
3;161;20
5;164;18
1;170;16
5;153;17
2;154;17
4;176;20
4;171;19
1;150;15
3;164;19
5;166;16
5;175;16
1;176;15
2;170;19
5;175;19
4;151;17
1;169;19
1;156;16
6;175;20
2;174;19
2;153;20
3;178;17
2;155;18
3;151;19
6;157;15
2;153;17
5;151;20
6;153;17
5;170;16
2;171;18
5;178;19
3;161;15
4;163;20
5;156;16
6;151;15
1;155;20
5;161;20
5;171;20
4;169;17
3;178;15
6;160;20
4;161;18
1;151;20
5;151;20
5;165;18
5;172;19
5;163;20
2;153;18
6;161;20
2;175;19
1;177;17
2;150;17
6;159;19
5;151;16
1;164;18
4;178;16
3;177;19
5;165;19
1;152;16
3;169;15
6;153;16
2;168;15
3;162;16
3;159;20
3;164;15
3;166;16
4;156;18
2;150;15
1;176;19
4;174;18
1;154;17
4;151;18
4;172;15
5;157;15
4;157;18
2;162;20
2;176;19
3;168;17
6;157;20
2;168;17
1;154;17
2;154;18
5;151;16
6;170;20
2;160;18
1;167;18
5;153;20
2;156;15
1;150;16
4;170;16
3;165;17
5;168;20
2;155;19
1;157;17
5;177;15
5;164;15
3;154;19
4;155;16
1;153;16
1;158;16
6;169;18
3;156;20
2;164;17
1;159;17
3;167;18
3;150;20
4;173;20
3;157;16
1;156;20
4;154;17
2;157;17
6;166;18
3;173;17
2;176;15
1;168;15
4;158;15
6;153;16
4;157;20
3;176;15
1;162;18
4;159;18
2;156;19
5;170;19
1;150;19
1;162;19
6;164;20
1;151;15
4;174;15
1;155;18
4;161;20
3;156;19
3;167;15
3;151;19
3;172;17
4;153;15
5;165;15
6;164;19
2;173;19
6;174;19
4;154;17
1;169;18
3;162;19
4;169;15
1;165;16
6;154;17
6;177;15
4;173;16
2;151;16
4;178;16
3;168;17
4;174;19
3;156;15
5;151;19
1;159;16
5;165;20
5;174;17
6;176;20
6;155;18
2;167;15
2;159;16
3;157;15
5;152;15
6;155;15
5;160;20
3;153;18
5;168;20
3;157;16
4;158;18
